period,revenue,net_profit,interest_payable,ebitda,inn,name
2025,113183.0,3585.0,0.0,3585.0,5920011940,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ № 4"""
2024,144539.0,1315.0,19.0,1334.0,5920011940,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ № 4"""
2023,113658.0,494.0,179.0,673.0,5920011940,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ № 4"""
2022,210307.0,6473.0,402.0,6875.0,5920011940,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ № 4"""
2021,103534.0,-966.0,317.0,-649.0,5920011940,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ № 4"""
2025,685420.0,6111.0,,6111.0,6168028800,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИРА"""
2024,38797.0,2872.0,0.0,2872.0,6168028800,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИРА"""
2023,44893.0,1812.0,154.0,1966.0,6168028800,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИРА"""
2022,209651.0,31.0,1362.0,1393.0,6168028800,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИРА"""
2021,1847915.0,4102.0,1722.0,5824.0,6168028800,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИРА"""
2025,67969.0,546.0,0.0,546.0,5406982597,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬСТВО ПОДЗЕМНЫХ КОММУНИКАЦИЙ"""
2024,56958.0,1887.0,,1887.0,5406982597,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬСТВО ПОДЗЕМНЫХ КОММУНИКАЦИЙ"""
2023,27893.0,-5479.0,,-5479.0,5406982597,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬСТВО ПОДЗЕМНЫХ КОММУНИКАЦИЙ"""
2022,29070.0,-23573.0,,-23573.0,5406982597,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬСТВО ПОДЗЕМНЫХ КОММУНИКАЦИЙ"""
2021,61139.0,-1891.0,,-1891.0,5406982597,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬСТВО ПОДЗЕМНЫХ КОММУНИКАЦИЙ"""
2025,117124.0,17.0,0.0,17.0,3918011080,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗЕЛЕНОГРАДСК-СЕЛЬСТРОЙ"""
2024,119562.0,41157.0,55.0,41212.0,3918011080,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗЕЛЕНОГРАДСК-СЕЛЬСТРОЙ"""
2023,46587.0,62.0,,62.0,3918011080,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗЕЛЕНОГРАДСК-СЕЛЬСТРОЙ"""
2022,30511.0,-262.0,,-262.0,3918011080,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗЕЛЕНОГРАДСК-СЕЛЬСТРОЙ"""
2021,35206.0,3513.0,,3513.0,3918011080,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗЕЛЕНОГРАДСК-СЕЛЬСТРОЙ"""
2025,384750.0,2778.0,,2778.0,6673244971,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНЫЕ ТЕХНОЛОГИИ"""
2024,286079.0,1825.0,,1825.0,6673244971,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНЫЕ ТЕХНОЛОГИИ"""
2023,439229.0,5733.0,,5733.0,6673244971,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНЫЕ ТЕХНОЛОГИИ"""
2022,623558.0,10920.0,,10920.0,6673244971,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНЫЕ ТЕХНОЛОГИИ"""
2021,345340.0,354.0,,354.0,6673244971,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНЫЕ ТЕХНОЛОГИИ"""
2025,2943.0,-5598.0,0.0,-5598.0,7842509070,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕСУРС"""
2024,122432.0,-1425.0,,-1425.0,7842509070,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕСУРС"""
2023,82741.0,722.0,0.0,722.0,7842509070,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕСУРС"""
2022,35775.0,181.0,50.0,231.0,7842509070,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕСУРС"""
2021,45774.0,41.0,,41.0,7842509070,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕСУРС"""
2025,2305113.0,22964.0,38987.0,61951.0,2724075519,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФОРПОСТ"""
2024,2220801.0,124211.0,43351.0,167562.0,2724075519,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФОРПОСТ"""
2023,369879.0,1453.0,65611.0,67064.0,2724075519,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФОРПОСТ"""
2022,701531.0,5394.0,47607.0,53001.0,2724075519,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФОРПОСТ"""
2021,451718.0,-89541.0,16685.0,-72856.0,2724075519,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФОРПОСТ"""
2025,3525.0,982.0,27710.0,28692.0,7814485325,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОТ2"""
2024,3857.0,88.0,0.0,88.0,7814485325,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОТ2"""
2023,109317.0,3078.0,12491.0,15569.0,7814485325,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОТ2"""
